"VEHICLE_ID","MODEL_ID","STARTED_TIME","FINISHED_TIME","CHARGELEVELSTART","CHARGELEVELEND","CHARGED","SERVICERENTAL"
"1d293c750cc5165af5c7266195b1dac0","7d3278bd8d29df4dbb5dae11ed4e69bd",2023-01-15 05:46:16.972,2023-01-15 06:06:14.466,72,65,false,false
ca1c90897ce1f12c092fe96acfc8832c,"7d3278bd8d29df4dbb5dae11ed4e69bd",2023-01-15 08:12:02.460,2023-01-15 08:17:27.798,,65,false,true
ddf0231bd86205eefbb6fde99b1ab756,"7d3278bd8d29df4dbb5dae11ed4e69bd",2023-01-15 10:19:51.668,2023-01-15 10:36:08.477,60,46,false,false
"981fb8da358abde5fc063be80e011720","7d3278bd8d29df4dbb5dae11ed4e69bd",2023-01-15 12:57:37.334,2023-01-15 12:59:16.264,,100,false,true
"981fb8da358abde5fc063be80e011720","7d3278bd8d29df4dbb5dae11ed4e69bd",2023-01-15 13:00:56.392,2023-01-15 13:04:52.894,,98,false,true
c71ef46b95f70c617b399ac51b6e846f,"7d3278bd8d29df4dbb5dae11ed4e69bd",2023-01-17 02:41:12.222,2023-01-17 02:52:47.979,63,56,false,false
e60b281a0143cacff6cb7abf453d8dc3,"7d3278bd8d29df4dbb5dae11ed4e69bd",2023-01-17 02:47:23.724,2023-01-17 02:59:38.214,65,38,false,false
"1d293c750cc5165af5c7266195b1dac0","7d3278bd8d29df4dbb5dae11ed4e69bd",2023-01-17 06:12:38.637,2023-01-17 06:23:35.156,58,52,false,false
c6d81f7811636647277b602e831ec5c3,"7d3278bd8d29df4dbb5dae11ed4e69bd",2023-01-17 06:07:54.693,2023-01-17 06:28:49.737,96,76,false,false
d7777da68b50ace0b909872d611db978,"7d3278bd8d29df4dbb5dae11ed4e69bd",2023-01-17 06:00:49.489,2023-01-17 06:33:44.534,71,59,false,false
"73f583278b1fb9f19621c240df5b31c5","7d3278bd8d29df4dbb5dae11ed4e69bd",2023-01-17 07:22:00.502,2023-01-17 07:44:56.008,32,16,false,false
"42ac25c2d95a476f0186fa454c3def84","7d3278bd8d29df4dbb5dae11ed4e69bd",2023-01-17 07:10:10.330,2023-01-17 07:48:16.569,73,50,false,false
"3dcaa2ca32c9a3b8cdc566b259f754f0","7d3278bd8d29df4dbb5dae11ed4e69bd",2023-01-17 09:35:05.107,2023-01-17 09:36:39.852,,3,true,true
af77c8463ac27b3776ae4528d58704dc,"7d3278bd8d29df4dbb5dae11ed4e69bd",2023-01-17 09:27:20.884,2023-01-17 09:39:00.763,70,62,false,false
f94f58e24061c6c82ec4f0787951c798,"7d3278bd8d29df4dbb5dae11ed4e69bd",2023-01-17 09:37:51.703,2023-01-17 09:40:42.858,55,52,false,false
"1ad57f261423114ec397fc6bcf156335","7d3278bd8d29df4dbb5dae11ed4e69bd",2023-01-17 09:35:35.022,2023-01-17 09:43:38.519,39,33,false,false
ad657d9e2b87df0576cb0f73e43a8049,"7d3278bd8d29df4dbb5dae11ed4e69bd",2023-01-17 09:24:42.752,2023-01-17 09:47:33.661,,2,false,true
"8434d49aa0baa7dad7a1df72defa440a","7d3278bd8d29df4dbb5dae11ed4e69bd",2023-01-17 09:31:11.333,2023-01-17 09:49:05.532,,7,false,true
c6d81f7811636647277b602e831ec5c3,"7d3278bd8d29df4dbb5dae11ed4e69bd",2023-01-17 11:22:32.196,2023-01-17 11:38:09.969,62,54,false,false
